,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
876,"frozenset({'homeowner_N', 'low_fat_Y', 'yearly_income_$30K - $50K'})",frozenset({'education_High School Degree'}),0.05003745564103826,0.29537463843003453,0.032507122039774065,0.6496557753251011,2.1994297776482434,0.0177273266718435,2.0112372687856377,0.574061265481319
877,"frozenset({'homeowner_Y', 'recyclable_N', 'education_High School Degree'})",frozenset({'yearly_income_$30K - $50K'}),0.0774648272392732,0.3291722029931705,0.04966563321905262,0.6411378555798687,1.9477278146513808,0.024166365382215695,1.8693189221470796,0.5274392284079059
878,"frozenset({'homeowner_Y', 'recyclable_N', 'yearly_income_$30K - $50K'})",frozenset({'education_High School Degree'}),0.08189935641913136,0.29537463843003453,0.04966563321905262,0.6064227533716117,2.0530630408719235,0.025474640429099162,1.7903102062077934,0.5586782884004172
879,"frozenset({'homeowner_Y', 'recyclable_Y', 'yearly_income_$30K - $50K'})",frozenset({'education_High School Degree'}),0.1056303757046855,0.29537463843003453,0.06486660870611265,0.6140904855575111,2.079022386016296,0.03366607467511246,1.8258823252593686,0.5803022420558573
880,"frozenset({'homeowner_Y', 'education_High School Degree', 'recyclable_Y'})",frozenset({'yearly_income_$30K - $50K'}),0.10033737416818403,0.3291722029931705,0.06486660870611265,0.6464850136239781,1.963972072202558,0.03183833420862147,1.8975936604093293,0.5455687233206069
881,"frozenset({'homeowner_Y', 'low_fat_N', 'education_High School Degree'})",frozenset({'yearly_income_$30K - $50K'}),0.11508450758134982,0.3291722029931705,0.07388330243926444,0.641991732788521,1.9503218283648351,0.036000681548327286,1.8737773913208682,0.5506334936854186
882,"frozenset({'homeowner_Y', 'low_fat_N', 'yearly_income_$30K - $50K'})",frozenset({'education_High School Degree'}),0.12144923256945697,0.29537463843003453,0.07388330243926444,0.6083472153437486,2.059578366569369,0.038010279281455915,1.7991072428819983,0.5855822429860599
883,"frozenset({'homeowner_Y', 'education_High School Degree', 'yearly_income_$30K - $50K'})",frozenset({'low_fat_N'}),0.11453224192516527,0.6473100288162377,0.07388330243926444,0.6450873675164709,0.9965663110398097,-0.0002545663817025978,0.9937374410028363,-0.0038761034279132136
884,"frozenset({'homeowner_Y', 'low_fat_Y', 'education_High School Degree'})",frozenset({'yearly_income_$30K - $50K'}),0.0627176938261074,0.3291722029931705,0.04064893948590082,0.6481255448997385,1.9689558808621075,0.02000401804250988,1.906440741245871,0.5250462965389162
885,"frozenset({'homeowner_Y', 'low_fat_Y', 'yearly_income_$30K - $50K'})",frozenset({'education_High School Degree'}),0.06608049955435989,0.29537463843003453,0.04064893948590082,0.615142738932561,2.0825848224551278,0.02113043582275571,1.83087454194217,0.5566084452269461
886,"frozenset({'recyclable_N', 'low_fat_N', 'education_High School Degree'})",frozenset({'yearly_income_$30K - $50K'}),0.08196497214065823,0.3291722029931705,0.05720050524105576,0.6978652434956638,2.1200612844886626,0.03021991479324144,2.2202933709720414,0.5754851461108043
887,"frozenset({'recyclable_N', 'low_fat_N', 'yearly_income_$30K - $50K'})",frozenset({'education_High School Degree'}),0.09130974448144442,0.29537463843003453,0.05720050524105576,0.6264446972872627,2.1208479530162805,0.03022992247971027,1.8862678603489667,0.5815958484655991
888,"frozenset({'recyclable_N', 'education_High School Degree', 'yearly_income_$30K - $50K'})",frozenset({'low_fat_N'}),0.09027629686739609,0.6473100288162377,0.05720050524105576,0.6336159903089037,0.9788446989885561,-0.0012362470856016328,0.9626238095956218,-0.023205926968215215
889,"frozenset({'recyclable_N', 'low_fat_Y', 'education_High School Degree'})",frozenset({'yearly_income_$30K - $50K'}),0.047161299847443446,0.3291722029931705,0.03307579162634034,0.7013333333333335,2.1305970764119606,0.017551602659535905,2.2460752131925106,0.5569127276731015
890,"frozenset({'recyclable_N', 'low_fat_Y', 'yearly_income_$30K - $50K'})",frozenset({'education_High School Degree'}),0.05266755247890728,0.29537463843003453,0.03307579162634034,0.6280107973421928,2.126150033327759,0.017519132355888235,1.8942091774049425,0.5591134421682172
